,mic,ticker,isin,name,status,issuer_name,country_code,currency_code,industry_name,industry_code,super_sector_name,super_sector_code,sector_name,sector_code,sub_sector_name,sub_sector_code,industry_class,domicile,issuer_domicile,distributions,ter,quote_units,asset_class,locality
101,XJSE,ETFBND,ZAE000316659,1Nvest SA Bond ETF,listed,1Nvest Etfs (Pty) Ltd,ZA,ZAR,Exchange Traded Funds,A140,Exchange Traded Products,A300,Exchange Traded Funds,A310,Exchange Traded Funds,A311,icb,ZA,ZA,True,0.29,cents,bond,ZA
163,XJSE,ETFEMA,ZAE000313409,1Nvest Msci Em Asia ETF,listed,1Nvest Etfs (Pty) Ltd,ZA,ZAR,Exchange Traded Funds,A140,Exchange Traded Products,A300,Exchange Traded Funds,A310,Exchange Traded Funds,A311,icb,ZA,ZA,False,0.4,cents,equity,AS
92,XJSE,ETFGGB,ZAE000255188,1Nvest G7 Govt Bond ETF,listed,1Nvest Etfs (Pty) Ltd,ZA,ZAR,Exchange Traded Funds,A140,Exchange Traded Products,A300,Exchange Traded Funds,A310,Exchange Traded Funds,A311,icb,ZA,ZA,True,0.4,cents,bond,ZZ
93,XJSE,ETFGRE,ZAE000255196,1Nvest Global Reit ETF,listed,1Nvest Etfs (Pty) Ltd,ZA,ZAR,Exchange Traded Funds,A140,Exchange Traded Products,A300,Exchange Traded Funds,A310,Exchange Traded Funds,A311,icb,ZA,ZA,True,0.34,cents,property,ZZ
112,XJSE,ETFSAP,ZAE000279238,1Nvest SA Property ETF,listed,1Nvest Etfs (Pty) Ltd,ZA,ZAR,Exchange Traded Funds,A140,Exchange Traded Products,A300,Exchange Traded Funds,A310,Exchange Traded Funds,A311,icb,ZA,ZA,True,0.29,cents,property,ZA
160,XJSE,ETFSRI,ZAE000312245,1Nvest Msci World SRI ETF,listed,1Nvest Etfs (Pty) Ltd,ZA,ZAR,Exchange Traded Funds,A140,Exchange Traded Products,A300,Exchange Traded Funds,A310,Exchange Traded Funds,A311,icb,ZA,ZA,False,0.4,cents,equity,ZZ
131,XJSE,ETFSWX,ZAE000279220,1Nvest Swix 40 ETF,listed,1Nvest Etfs (Pty) Ltd,ZA,ZAR,Exchange Traded Funds,A140,Exchange Traded Products,A300,Exchange Traded Funds,A310,Exchange Traded Funds,A311,icb,ZA,ZA,True,0.29,cents,equity,ZA
133,XJSE,ETFT40,ZAE000279212,1Nvest Top 40 ETF,listed,1Nvest Etfs (Pty) Ltd,ZA,ZAR,Exchange Traded Funds,A140,Exchange Traded Products,A300,Exchange Traded Funds,A310,Exchange Traded Funds,A311,icb,ZA,ZA,True,0.29,cents,equity,ZA
88,XJSE,ETFUSD,ZAE000313391,1Nvest Us Short-Date ETF,listed,1Nvest Etfs (Pty) Ltd,ZA,ZAR,Exchange Traded Funds,A140,Exchange Traded Products,A300,Exchange Traded Funds,A310,Exchange Traded Funds,A311,icb,ZA,ZA,True,,cents,bond,US
99,XJSE,ETFWLD,ZAE000255170,1Nvest Msci World ETF,listed,1Nvest Etfs (Pty) Ltd,ZA,ZAR,Exchange Traded Funds,A140,Exchange Traded Products,A300,Exchange Traded Funds,A310,Exchange Traded Funds,A311,icb,ZA,ZA,False,0.4,cents,equity,ZZ
